site,pft,TXx,temp,Qle,B
AdelaideRiver,SAV,37.99532470703127,37.99532470703127,94.95089862744014,1.6081124169148644
AdelaideRiver,SAV,37.99532470703127,37.72121582031252,119.71511335372925,1.3413226948632386
AdelaideRiver,SAV,37.99532470703127,37.99483642578127,112.28573177478931,1.4719713963118248
AdelaideRiver,SAV,37.99532470703127,36.99968872070315,132.6993580508232,1.2362936721997975
AdelaideRiver,SAV,37.99532470703127,36.41921386718752,136.87660319988544,0.8808944386577373
Calperum,EBF,46.26235351562502,46.26235351562502,35.29048588540819,6.848473409401207
Calperum,EBF,46.26235351562502,41.6794372558594,19.833577758699125,13.0066210201319
Calperum,EBF,46.26235351562502,35.39125976562502,31.033791058829852,9.53631789172794
Calperum,EBF,46.26235351562502,35.74605712890627,36.751571741971105,8.576376168614788
Calperum,EBF,46.26235351562502,35.54787597656252,40.09703889760104,6.530798312467165
CapeTribulation,TRF,32.38320312500002,,,
CapeTribulation,TRF,32.38320312500002,,,
CapeTribulation,TRF,32.38320312500002,,,
CapeTribulation,TRF,32.38320312500002,,,
CapeTribulation,TRF,32.38320312500002,,,
CowBay,TRF,39.06817016601565,36.62838134765627,189.17912013190133,0.2263038617285486
CowBay,TRF,39.06817016601565,34.1697937011719,166.47047802380152,0.18021723892001654
CowBay,TRF,39.06817016601565,28.215386962890648,156.38444571659483,0.13852944168889633
CowBay,TRF,39.06817016601565,28.100152587890648,182.16874997432416,0.05648499910975413
CowBay,TRF,39.06817016601565,28.445886230468773,165.7027877281452,0.12809371410747641
CumberlandPlains,EBF,44.14486083984377,44.14486083984377,96.24010915226407,1.4502860403193065
CumberlandPlains,EBF,44.14486083984377,32.81386718750002,63.14521024101659,3.68914823745605
CumberlandPlains,EBF,44.14486083984377,39.19167480468752,89.7924135684967,2.2619649202929066
CumberlandPlains,EBF,44.14486083984377,37.51015625000002,74.87602269022088,2.3384065063891066
CumberlandPlains,EBF,44.14486083984377,27.022210693359398,64.64561375449685,3.903778870517338
DalyPasture,GRA,40.0919128417969,40.0919128417969,75.8475532913208,1.987446057139296
DalyPasture,GRA,40.0919128417969,39.9186950683594,80.55430049246007,1.8672674184373392
DalyPasture,GRA,40.0919128417969,40.02739868164065,95.02608886632052,1.6984178232736546
DalyPasture,GRA,40.0919128417969,38.79537353515627,64.32995745113918,2.062812834220748
DalyPasture,GRA,40.0919128417969,37.67571411132815,62.02556655236653,2.0965256152937664
DalyUncleared,SAV,39.96749267578127,39.96749267578127,100.09983588258426,1.8231457433601286
DalyUncleared,SAV,39.96749267578127,37.52565917968752,97.486242779979,1.7884018466929774
DalyUncleared,SAV,39.96749267578127,34.86232910156252,117.34054401233082,1.0293767387302915
DalyUncleared,SAV,39.96749267578127,36.28371582031252,98.02562828815502,1.4469091529091564
DalyUncleared,SAV,39.96749267578127,37.62954101562502,91.55996130861342,1.3811240688729605
DryRiver,SAV,41.77114257812502,41.77114257812502,54.64053023523755,3.875139715802267
DryRiver,SAV,41.77114257812502,40.56411132812502,64.86174390626991,2.5501584719507853
DryRiver,SAV,41.77114257812502,39.19777832031252,70.04870609803633,2.295942593760793
DryRiver,SAV,41.77114257812502,40.11629638671877,61.997034343389366,2.787692329867343
DryRiver,SAV,41.77114257812502,38.5465026855469,75.49206007957459,1.9885882693379897
Emerald,NA,41.69375000000002,39.62249145507815,26.7392969250679,4.6573168602669375
Emerald,NA,41.69375000000002,38.31600341796877,26.038433025280636,5.342417845569798
Emerald,NA,41.69375000000002,34.04619750976565,15.498525341351828,8.5423803554488
Emerald,NA,41.69375000000002,31.003869628906273,17.26407710276544,8.161559124628557
Emerald,NA,41.69375000000002,30.759667968750023,17.52175102489335,8.02400383747906
Gingin,EBF,45.11431274414065,45.11431274414065,80.86014250346592,2.5951308508331983
Gingin,EBF,45.11431274414065,35.10640869140627,68.16259694099426,4.215202154846231
Gingin,EBF,45.11431274414065,29.780267333984398,62.032628698349,5.621801770647321
Gingin,EBF,45.11431274414065,28.305810546875023,62.277959232330325,4.300477309285088
Gingin,EBF,45.11431274414065,27.145867919921898,63.68932753023894,5.760846220124862
GreatWesternWoodlands,EBF,45.76180419921877,45.76180419921877,28.05830409310081,5.485588005626138
GreatWesternWoodlands,EBF,45.76180419921877,44.95879516601565,31.25987222671509,5.8245747675602
GreatWesternWoodlands,EBF,45.76180419921877,43.68770751953127,30.269970566034317,5.560894672228754
GreatWesternWoodlands,EBF,45.76180419921877,32.46010742187502,15.708566936579617,1.9732984561034193
GreatWesternWoodlands,EBF,45.76180419921877,35.5788513183594,26.34941638083685,9.565270152698337
HowardSprings,SAV,38.85445556640627,38.85445556640627,105.6255002784729,1.6818236231061388
HowardSprings,SAV,38.85445556640627,36.33333740234377,132.48460204526782,1.2888632773804665
HowardSprings,SAV,38.85445556640627,36.54812011718752,104.68283174348915,1.7661510645270624
HowardSprings,SAV,38.85445556640627,37.9957214355469,135.93862289648789,0.9451768843288949
HowardSprings,SAV,38.85445556640627,36.6570983886719,117.8598080385815,1.7149605448232819
Otway,GRA,41.57695922851565,41.57695922851565,224.07102467332567,0.4969406439493637
Otway,GRA,41.57695922851565,28.240594482421898,180.30464201966922,0.8523028113905258
Otway,GRA,41.57695922851565,24.142480468750023,129.4708344255175,1.5369352063622146
Otway,GRA,41.57695922851565,33.38320312500002,207.8265070574624,0.6071355328617029
Otway,GRA,41.57695922851565,21.188531494140648,147.5287538255964,1.3330055143104007
RedDirtMelonFarm,NA,39.6994567871094,39.6994567871094,198.16426478491888,0.18167834896767202
