site,pft,TXx,temp,Qle,B
RedDirtMelonFarm,NA,39.6994567871094,37.87709960937502,81.41298697171388,1.36411893228631
RedDirtMelonFarm,NA,39.6994567871094,38.3257995605469,77.75645459615268,1.2739190348211038
RedDirtMelonFarm,NA,39.6994567871094,36.85305175781252,77.93435803401682,1.1926062048794788
RedDirtMelonFarm,NA,39.6994567871094,37.18624267578127,92.86970694418306,1.0549578194136588
RiggsCreek,GRA,42.97927246093752,42.97927246093752,34.636815139225554,4.867919901015016
RiggsCreek,GRA,42.97927246093752,42.34078369140627,28.431512032236373,7.206905803461289
RiggsCreek,GRA,42.97927246093752,41.36895141601565,18.109149200575693,11.35747628959292
RiggsCreek,GRA,42.97927246093752,38.28737792968752,24.79442662617256,8.07301301218613
RiggsCreek,GRA,42.97927246093752,36.39388427734377,21.20018142872843,10.377594707504338
Samford,GRA,42.86336669921877,42.86336669921877,245.5078607039018,0.4411312236458219
Samford,GRA,42.86336669921877,36.4028259277344,138.0467555999756,1.2223459336835645
Samford,GRA,42.86336669921877,30.960382080078148,114.64449338351979,1.034370690902147
Samford,GRA,42.86336669921877,29.343377685546898,119.07564712422234,1.0513541021736434
Samford,GRA,42.86336669921877,26.915673828125023,53.83993104787973,0.454066802085839
SturtPlains,GRA,45.41204223632815,45.41204223632815,56.44458366357363,3.614459118178809
SturtPlains,GRA,45.41204223632815,45.3449645996094,48.358143188335276,3.836753465947246
SturtPlains,GRA,45.41204223632815,45.31353149414065,61.28657792232655,3.0462341580695056
SturtPlains,GRA,45.41204223632815,43.9788757324219,65.61229710115327,3.3897523062430315
SturtPlains,GRA,45.41204223632815,40.98052368164065,59.98696575845991,3.1030928590734574
Tumbarumba,EBF,32.23861083984377,32.23861083984377,186.62183484164152,0.690542798145475
Tumbarumba,EBF,32.23861083984377,30.415734863281273,200.69275309489325,0.6933079641614468
Tumbarumba,EBF,32.23861083984377,29.319818115234398,190.64126427968344,0.6254367428637643
Tumbarumba,EBF,32.23861083984377,27.781182861328148,155.75410447801863,0.8236417585771708
Tumbarumba,EBF,32.23861083984377,28.493890380859398,142.2872172643741,0.8845725840420202
Whroo,EBF,42.37935791015627,42.37935791015627,75.17669084337022,2.3881086339946673
Whroo,EBF,42.37935791015627,41.73467407226565,65.0768494076199,2.863814804246265
Whroo,EBF,42.37935791015627,41.46904907226565,74.77365686212268,2.8640023743505294
Whroo,EBF,42.37935791015627,37.56112060546877,83.7861083470858,2.6754722949477747
Whroo,EBF,42.37935791015627,31.072656250000023,75.79552613771878,4.171005037084553
WombatStateForest,EBF,37.67507324218752,37.67507324218752,241.86785898889815,0.37200486332243143
WombatStateForest,EBF,37.67507324218752,33.13045654296877,206.01744815281458,0.6544281795736107
WombatStateForest,EBF,37.67507324218752,23.459313964843773,178.29473265012106,1.0903357931811208
WombatStateForest,EBF,37.67507324218752,23.946740722656273,159.17659595489502,1.3817768695103612
WombatStateForest,EBF,37.67507324218752,28.294610595703148,156.13415937070494,1.1647175245962087
Yanco,GRA,44.19667968750002,44.19667968750002,15.616078972816467,15.287641828561123
Yanco,GRA,44.19667968750002,40.20333251953127,15.356956755885712,18.088208201009227
Yanco,GRA,44.19667968750002,36.03667602539065,12.108447884874684,20.380979576209015
Yanco,GRA,44.19667968750002,31.903344726562523,16.07686621409196,15.531873309524661
Yanco,GRA,44.19667968750002,36.4566589355469,19.17550220588843,12.58282380469838
