site,pft,temp,Qle,B
AdelaideRiver,SAV,37.99532470703127,94.95089862744014,1.6081124169148644
AdelaideRiver,SAV,37.72121582031252,119.71511335372925,1.3413226948632386
AdelaideRiver,SAV,37.99483642578127,112.28573177478931,1.4719713963118248
AdelaideRiver,SAV,36.99968872070315,132.6993580508232,1.2362936721997975
AdelaideRiver,SAV,36.41921386718752,136.87660319988544,0.8808944386577373
Calperum,EBF,37.00933227539065,31.300792111290825,6.276713451344209
Calperum,EBF,35.90984497070315,40.38017967012193,5.82170872099792
Calperum,EBF,35.33352050781252,47.596614078239156,3.764269498519586
Calperum,EBF,32.1379333496094,49.356794995921,4.069952823971308
Calperum,EBF,29.960046386718773,81.9754657518296,1.922475464469196
Calperum,EBF,37.79964599609377,18.89804428898626,10.003639735582968
Calperum,EBF,34.7755065917969,28.5320767838022,8.623293025074911
Calperum,EBF,29.489404296875023,31.868449563980104,9.583338946455047
Calperum,EBF,26.648492431640648,35.901160633564,8.689172436826533
Calperum,EBF,36.6610046386719,18.189036644671273,10.03783438341319
Calperum,EBF,37.8571716308594,15.146273198335066,8.339251254194561
Calperum,EBF,32.34566650390627,22.446507540487108,9.073926293250668
Calperum,EBF,30.409448242187523,28.929227215903147,6.946397914872205
Calperum,EBF,25.225549316406273,20.076997334306892,12.887735431893987
Calperum,EBF,23.178613281250023,27.250400548631493,9.538078850497456
Calperum,EBF,37.91573486328127,23.717524886131287,7.376744577565887
Calperum,EBF,32.3823181152344,20.339498755238626,10.333335860382336
Calperum,EBF,27.055780029296898,27.079642843008042,9.485646360341246
Calperum,EBF,27.554193115234398,21.66926476955414,13.003527896100113
Calperum,EBF,27.427301025390648,25.64138287305832,8.785352620669192
Calperum,EBF,38.18428955078127,24.952094316482544,8.925666518791443
Calperum,EBF,32.97136840820315,26.77533806995912,8.715056559779104
Calperum,EBF,26.612634277343773,26.987457746950287,8.778556757071103
Calperum,EBF,24.745111083984398,31.773729577064515,8.60547945337338
Calperum,EBF,23.560418701171898,36.670759144036666,8.360984950620935
Calperum,EBF,38.18843994140627,25.64940377840629,9.679319435853486
Calperum,EBF,34.0024353027344,27.985998527407645,9.318786016174393
Calperum,EBF,29.153680419921898,33.874148383140565,8.0396444505614
Calperum,EBF,26.663232421875023,23.3954901209584,11.479827613713478
Calperum,EBF,25.232537841796898,30.716492389639217,7.022289803585897
Calperum,EBF,38.3488708496094,33.235062047054896,8.602505121724356
Calperum,EBF,35.24978027343752,28.848868424693745,8.377192527997225
Calperum,EBF,31.351922607421898,25.701230234503747,10.483624209086372
Calperum,EBF,30.281121826171898,29.80324183339658,9.409909087959553
Calperum,EBF,36.05132446289065,25.615245139598848,9.949520456048045
Calperum,EBF,38.35173950195315,89.63373635292054,2.7287539351710817
Calperum,EBF,37.04241333007815,74.94209581834299,2.728144185195285
Calperum,EBF,36.61684570312502,86.96430441471082,2.3501590606139477
Calperum,EBF,38.06478271484377,90.869869556427,2.111079897581012
Calperum,EBF,34.96978149414065,75.7647054706301,3.1719651367363624
Calperum,EBF,38.3787780761719,36.27048229729688,5.072086166774633
Calperum,EBF,33.59523925781252,49.07709004481634,4.51356022956972
Calperum,EBF,32.69558105468752,51.20842153082291,3.7541748058315854
Calperum,EBF,37.5827575683594,45.24767164562059,2.3145586580582824
Calperum,EBF,36.25429687500002,38.11673213217569,5.226131542878049
Calperum,EBF,38.45467529296877,27.68257408738136,8.259542312323422
Calperum,EBF,36.21233520507815,26.525495211283367,7.7504923869687525
Calperum,EBF,31.431848144531273,47.51931147972743,3.7369840783601447
Calperum,EBF,35.17461547851565,52.13446913424291,4.019383685380536
Calperum,EBF,31.029351806640648,24.25305886495681,10.145745843560707
Calperum,EBF,38.62651977539065,39.44953107292002,5.723663808592472
Calperum,EBF,37.6854187011719,40.845500136676584,6.065824749095536
Calperum,EBF,29.227014160156273,27.836342405814392,8.49375802557951
Calperum,EBF,27.141229248046898,26.64604245339121,10.54746863396807
Calperum,EBF,24.779260253906273,35.439763692709114,8.744769151694923
Calperum,EBF,38.86043701171877,84.48874315848717,1.070806799556865
Calperum,EBF,34.39824829101565,111.69908277002665,1.1751586712339563
Calperum,EBF,34.59893188476565,106.96023680613591,1.3608777185148566
Calperum,EBF,30.195794677734398,88.04599435121885,1.608018216621358
Calperum,EBF,26.569909667968773,94.72118508815765,1.7280486619780735
Calperum,EBF,38.8991638183594,21.1781997470944,6.186167018900435
Calperum,EBF,32.20073852539065,22.138607054948807,7.132825359443973
Calperum,EBF,36.37160644531252,23.712915811538696,6.790008607884866
Calperum,EBF,33.28728637695315,18.99026124427716,7.616744121047537
Calperum,EBF,27.701409912109398,24.02061563332311,6.530431492885555
Calperum,EBF,39.22200927734377,25.93490477583625,7.678846694885282
Calperum,EBF,39.01516113281252,30.299499163776638,7.453731500283757
Calperum,EBF,38.50289306640627,28.41519386291504,5.990560980974654
Calperum,EBF,35.38680419921877,45.41777503490448,3.217407611933415
Calperum,EBF,33.86690673828127,26.32763806633327,5.608032069741459
Calperum,EBF,39.52474365234377,114.18395878314972,1.7352995845941086
Calperum,EBF,35.39370117187502,99.00589789794041,2.3006810940818028
Calperum,EBF,34.22652587890627,95.15353318623134,2.2553008246910466
Calperum,EBF,31.282617187500023,97.3229700614666,2.1383697591200312
Calperum,EBF,27.550256347656273,82.79381875480924,1.8875748651624613
Calperum,EBF,39.52474365234377,114.18395878314972,1.7352995845941086
Calperum,EBF,35.39370117187502,99.00589789794041,2.3006810940818028
Calperum,EBF,34.22652587890627,95.15353318623134,2.2553008246910466
